Date,Category,Value1,Value2,Value3,Port,Traffic
2023-01-06,CategoryC,98.5,185.13,47.5,443,5027.11
2023-01-06,CategoryC,14.42,72.74,43.87,8080,4432.87
2023-01-06,CategoryC,23.41,85.15,41.93,22,39716.64
2023-01-06,CategoryC,69.63,71.4,15.4,3306,25455.13
2023-01-06,CategoryC,80.45,130.79,42.62,21,24504.65
2023-01-06,CategoryD,58.72,174.15,40.4,80,29949.5
2023-01-06,CategoryD,16.45,126.36,7.29,443,18500.8
2023-01-06,CategoryD,11.84,142.14,43.41,8080,20114.12
2023-01-06,CategoryD,16.29,161.51,40.56,22,2524.36
2023-01-06,CategoryD,53.48,135.03,28.11,3306,11613.06
2023-01-06,CategoryD,10.31,139.88,29.33,21,22152.56
2023-01-07,CategoryA,37.92,181.0,6.59,80,15121.21
2023-01-07,CategoryA,10.11,76.07,49.54,443,43411.8
2023-01-07,CategoryA,83.8,55.52,46.48,8080,33123.96
2023-01-07,CategoryA,17.32,51.01,35.76,22,41162.41
2023-01-07,CategoryA,31.94,172.43,42.44,3306,34463.91
2023-01-07,CategoryA,62.37,167.72,25.46,21,10381.9
2023-01-07,CategoryB,58.35,87.63,19.67,80,41086.81
2023-01-07,CategoryB,10.91,33.49,14.92,443,21384.42
2023-01-07,CategoryB,93.72,177.02,27.4,8080,49217.11
2023-01-07,CategoryB,76.15,78.43,23.63,22,10439.49
2023-01-07,CategoryB,64.74,81.27,7.68,3306,48369.99
2023-01-07,CategoryB,65.83,161.27,40.65,21,1842.59
2023-01-07,CategoryC,54.4,29.9,27.34,80,21363.69
2023-01-07,CategoryC,53.49,94.29,10.21,443,22398.26
2023-01-07,CategoryC,98.81,158.34,27.99,8080,5081.48
2023-01-07,CategoryC,99.42,125.85,32.3,22,49430.33
2023-01-07,CategoryC,56.92,77.81,34.27,3306,48177.53
2023-01-07,CategoryC,72.66,189.49,21.0,21,2753.48
2023-01-07,CategoryD,46.14,128.14,42.97,80,32992.7
2023-01-07,CategoryD,58.05,160.37,20.73,443,23494.37
2023-01-07,CategoryD,23.53,104.59,35.8,8080,27039.24
2023-01-07,CategoryD,38.75,169.42,36.57,22,4057.86
2023-01-07,CategoryD,76.54,172.4,32.5,3306,16310.46
2023-01-07,CategoryD,58.14,45.4,7.66,21,22282.68
2023-01-08,CategoryA,94.58,132.56,33.91,80,48907.13
2023-01-08,CategoryA,13.87,88.53,16.71,443,16798.1
2023-01-08,CategoryA,81.98,21.26,15.14,8080,14236.08
2023-01-08,CategoryA,18.95,183.06,46.49,22,2786.77
2023-01-08,CategoryA,40.38,164.36,18.67,3306,43164.83
2023-01-08,CategoryA,14.62,83.98,31.46,21,28541.54
2023-01-08,CategoryB,90.46,197.24,29.06,80,27984.18
2023-01-08,CategoryB,41.66,126.84,9.88,443,12974.81
2023-01-08,CategoryB,28.11,67.47,16.74,8080,22773.71
2023-01-08,CategoryB,93.24,192.02,21.63,22,37118.51
2023-01-08,CategoryB,98.01,34.47,9.27,3306,38321.11
2023-01-08,CategoryB,83.55,187.17,6.82,21,33324.69
2023-01-08,CategoryC,97.55,129.69,22.84,80,8329.71
2023-01-08,CategoryC,86.49,81.73,22.27,443,32215.37
2023-01-08,CategoryC,72.47,165.38,15.37,8080,24173.61
2023-01-08,CategoryC,99.71,58.79,11.61,22,35372.98
2023-01-08,CategoryC,35.01,51.42,31.78,3306,38132.46
2023-01-08,CategoryC,53.1,78.77,35.26,21,42487.3
2023-01-08,CategoryD,38.73,39.21,18.48,80,1590.01
2023-01-08,CategoryD,17.48,35.88,9.17,443,14489.55
2023-01-08,CategoryD,85.29,157.86,27.36,8080,10040.79
2023-01-08,CategoryD,20.84,23.9,7.5,22,32045.77
2023-01-08,CategoryD,98.2,109.58,18.63,3306,37635.93
2023-01-08,CategoryD,96.77,130.93,29.14,21,48318.85
2023-01-09,CategoryA,54.21,64.29,19.01,80,13460.43
2023-01-09,CategoryA,79.15,133.71,26.61,443,42461.02
2023-01-09,CategoryA,25.02,120.3,44.06,8080,15522.74
2023-01-09,CategoryA,28.68,182.53,39.58,22,41577.55
2023-01-09,CategoryA,26.46,188.81,28.34,3306,49119.85
2023-01-09,CategoryA,89.21,73.41,23.46,21,36750.71
2023-01-09,CategoryB,64.2,118.0,49.09,80,1544.26
2023-01-09,CategoryB,37.37,191.22,12.23,443,20665.46
2023-01-09,CategoryB,91.62,150.57,49.2,8080,19777.67
2023-01-09,CategoryB,24.61,135.82,19.63,22,37226.21
2023-01-09,CategoryB,43.09,78.6,46.8,3306,17342.36
2023-01-09,CategoryB,40.31,111.26,46.28,21,31930.56
2023-01-09,CategoryC,79.32,169.31,40.89,80,21723.55
2023-01-09,CategoryC,76.03,27.98,39.89,443,10454.55
2023-01-09,CategoryC,97.03,150.31,40.82,8080,10998.27
2023-01-09,CategoryC,58.22,128.47,42.9,22,12136.2
2023-01-09,CategoryC,91.91,154.3,12.72,3306,32404.57
2023-01-09,CategoryC,63.19,146.22,43.79,21,34744.48
2023-01-09,CategoryD,17.25,158.93,38.48,80,19787.62
2023-01-09,CategoryD,30.59,28.52,11.65,443,32365.03
2023-01-09,CategoryD,78.45,136.88,45.65,8080,3739.81
2023-01-09,CategoryD,15.98,82.68,22.95,22,23932.62
2023-01-09,CategoryD,57.55,185.76,9.4,3306,7447.35
2023-01-09,CategoryD,94.65,107.42,16.05,21,20601.96
2023-01-10,CategoryA,25.57,58.6,36.47,80,6741.2
2023-01-10,CategoryA,32.2,106.0,23.25,443,22718.45
2023-01-10,CategoryA,89.17,125.58,15.9,8080,25085.7
2023-01-10,CategoryA,35.89,119.1,43.46,22,36610.71
2023-01-10,CategoryA,23.77,199.4,47.48,3306,1853.57
2023-01-10,CategoryA,63.78,194.23,10.74,21,7991.6
2023-01-10,CategoryB,17.38,45.55,43.81,80,24044.12
2023-01-10,CategoryB,83.06,105.54,16.96,443,47453.12
2023-01-10,CategoryB,52.76,187.77,43.31,8080,13534.71
2023-01-10,CategoryB,24.48,106.63,42.04,22,32945.48
2023-01-10,CategoryB,19.5,93.97,38.14,3306,24211.25
2023-01-10,CategoryB,18.98,64.82,44.21,21,10151.39
2023-01-10,CategoryC,60.33,111.44,44.45,80,24384.81
2023-01-10,CategoryC,50.6,31.77,31.36,443,47938.59
2023-01-10,CategoryC,99.9,70.12,9.71,8080,38832.96
2023-01-10,CategoryC,76.62,52.2,11.06,22,21710.82
2023-01-10,CategoryC,35.52,196.06,25.66,3306,15946.74
2023-01-10,CategoryC,68.55,105.29,23.55,21,48245.59
2023-01-10,CategoryD,98.74,79.6,16.46,80,48974.45
2023-01-10,CategoryD,90.67,198.82,46.51,443,22895.6
2023-01-10,CategoryD,88.5,67.68,32.51,8080,19781.96
2023-01-10,CategoryD,34.17,106.41,22.9,22,29573.53
2023-01-10,CategoryD,74.3,45.16,11.35,3306,27990.92
2023-01-10,CategoryD,14.45,114.18,5.58,21,5127.93
2023-01-11,CategoryA,86.13,180.52,20.79,80,32007.18
2023-01-11,CategoryA,79.1,139.43,5.49,443,28592.15
2023-01-11,CategoryA,33.22,70.9,19.45,8080,36119.66
2023-01-11,CategoryA,12.98,106.16,40.14,22,41029.23
2023-01-11,CategoryA,35.87,124.79,44.04,3306,29356.66
2023-01-11,CategoryA,35.78,108.53,5.25,21,49213.23
2023-01-11,CategoryB,97.2,146.79,38.71,80,41333.41
2023-01-11,CategoryB,10.64,151.97,49.73,443,19278.97
2023-01-11,CategoryB,56.93,145.08,11.08,8080,11469.94
2023-01-11,CategoryB,34.15,186.12,35.57,22,22653.45
2023-01-11,CategoryB,31.3,109.03,21.65,3306,8460.26
2023-01-11,CategoryB,86.34,104.64,8.06,21,31090.76
2023-01-11,CategoryC,32.12,153.47,21.53,80,22565.75
2023-01-11,CategoryC,20.22,92.82,48.96,443,43568.62
2023-01-11,CategoryC,29.56,82.61,37.04,8080,47601.61
2023-01-11,CategoryC,15.32,178.09,10.89,22,20164.57
2023-01-11,CategoryC,19.66,34.82,6.54,3306,36399.45
2023-01-11,CategoryC,76.14,109.73,36.14,21,41522.77
2023-01-11,CategoryD,57.89,83.59,30.95,80,20783.22
2023-01-11,CategoryD,85.51,51.74,25.71,443,30417.17
2023-01-11,CategoryD,78.73,37.76,24.91,8080,36489.09
2023-01-11,CategoryD,97.54,74.31,34.57,22,12135.22
2023-01-11,CategoryD,49.99,114.26,5.22,3306,38380.16
2023-01-11,CategoryD,26.29,172.5,43.0,21,48298.78
2023-01-12,CategoryA,31.25,78.96,28.17,80,30818.39
2023-01-12,CategoryA,13.99,104.04,5.86,443,19573.49
2023-01-12,CategoryA,77.64,118.73,40.94,8080,37519.46
2023-01-12,CategoryA,47.69,121.36,37.32,22,40890.37
2023-01-12,CategoryA,20.33,75.51,8.14,3306,37611.44
2023-01-12,CategoryA,69.76,163.8,31.22,21,14166.2
2023-01-12,CategoryB,60.33,101.86,32.7,80,44036.21
2023-01-12,CategoryB,31.41,36.04,45.14,443,22609.58
2023-01-12,CategoryB,85.86,199.78,41.71,8080,21670.23
2023-01-12,CategoryB,58.48,118.49,47.68,22,38823.84
2023-01-12,CategoryB,66.57,100.85,29.47,3306,15747.93
2023-01-12,CategoryB,61.59,61.97,38.83,21,41976.0
2023-01-12,CategoryC,70.64,146.59,12.74,80,10310.79
2023-01-12,CategoryC,39.25,94.5,8.96,443,49220.85
2023-01-12,CategoryC,63.1,70.0,39.91,8080,3898.54
2023-01-12,CategoryC,21.1,103.2,10.07,22,3647.02
2023-01-12,CategoryC,62.66,98.85,21.71,3306,15880.09
2023-01-12,CategoryC,98.8,78.31,31.55,21,8023.3
2023-01-12,CategoryD,72.33,170.7,41.18,80,48256.79
2023-01-12,CategoryD,61.96,46.09,44.38,443,46158.52
2023-01-12,CategoryD,89.83,173.31,15.16,8080,18420.26
2023-01-12,CategoryD,90.27,78.47,37.48,22,1323.66
2023-01-12,CategoryD,10.05,182.82,42.27,3306,45006.17
2023-01-12,CategoryD,22.11,84.58,8.0,21,46828.51
2023-01-13,CategoryA,89.07,40.18,45.31,80,14342.98
2023-01-13,CategoryA,91.48,176.1,30.38,443,1722.55
2023-01-13,CategoryA,17.5,140.44,41.09,8080,39895.81
2023-01-13,CategoryA,79.17,110.18,33.32,22,25206.72
2023-01-13,CategoryA,47.29,65.74,28.18,3306,6050.9
2023-01-13,CategoryA,11.99,171.08,29.73,21,9501.27
2023-01-13,CategoryB,75.0,124.84,42.41,80,19861.83
2023-01-13,CategoryB,91.91,76.28,41.0,443,44392.21
2023-01-13,CategoryB,51.32,184.13,43.58,8080,46578.91
2023-01-13,CategoryB,46.23,24.46,49.77,22,48416.11
2023-01-13,CategoryB,97.63,144.64,13.09,3306,15943.99
2023-01-13,CategoryB,59.51,161.28,18.88,21,2345.61
2023-01-13,CategoryC,59.3,122.59,35.12,80,10523.3
2023-01-13,CategoryC,31.66,126.9,44.19,443,11732.06
2023-01-13,CategoryC,46.19,31.59,33.48,8080,36244.37
2023-01-13,CategoryC,89.16,150.6,13.29,22,9484.6
2023-01-13,CategoryC,41.67,97.23,48.6,3306,45347.53
2023-01-13,CategoryC,40.12,60.05,34.03,21,5722.96
2023-01-13,CategoryD,40.06,21.04,40.37,80,31422.92
2023-01-13,CategoryD,48.62,177.16,25.4,443,18797.02
2023-01-13,CategoryD,93.69,85.22,15.82,8080,20221.86
2023-01-13,CategoryD,94.48,21.24,19.82,22,3933.9
2023-01-13,CategoryD,16.22,69.86,10.38,3306,46787.73
2023-01-13,CategoryD,64.2,109.46,48.68,21,32240.48
2023-01-14,CategoryA,94.63,27.14,32.92,80,39532.08
2023-01-14,CategoryA,85.96,105.6,27.96,443,21572.05
2023-01-14,CategoryA,77.61,67.4,7.11,8080,49712.92
2023-01-14,CategoryA,29.02,188.42,18.99,22,46525.2
2023-01-14,CategoryA,94.54,94.48,13.48,3306,8066.73
2023-01-14,CategoryA,59.74,123.81,46.88,21,41193.76
2023-01-14,CategoryB,74.99,45.24,46.87,80,25998.13
2023-01-14,CategoryB,19.96,168.05,45.35,443,48389.43
2023-01-14,CategoryB,96.62,39.48,37.81,8080,34107.89
2023-01-14,CategoryB,59.27,193.49,15.31,22,3209.91
2023-01-14,CategoryB,81.89,85.94,33.41,3306,44335.39
2023-01-14,CategoryB,78.57,139.87,49.87,21,4632.36
2023-01-14,CategoryC,73.05,57.74,27.87,80,28584.69
2023-01-14,CategoryC,27.61,177.67,8.67,443,11361.98
2023-01-14,CategoryC,96.35,85.04,28.72,8080,13066.56
2023-01-14,CategoryC,60.67,186.1,23.93,22,36990.65
2023-01-14,CategoryC,18.81,176.23,24.66,3306,2104.05
2023-01-14,CategoryC,89.76,174.95,29.52,21,13589.39
2023-01-14,CategoryD,43.2,111.46,23.55,80,30690.09
2023-01-14,CategoryD,37.69,29.05,19.79,443,13618.3
2023-01-14,CategoryD,10.22,108.18,30.09,8080,12681.87
2023-01-14,CategoryD,57.54,122.02,7.14,22,31802.52
2023-01-14,CategoryD,41.93,143.02,45.13,3306,31256.43
2023-01-14,CategoryD,26.55,136.24,28.51,21,4048.93
2023-01-15,CategoryA,42.14,53.32,36.41,80,22969.4
2023-01-15,CategoryA,23.98,86.01,47.6,443,5812.02
2023-01-15,CategoryA,88.26,182.65,39.32,8080,23486.56
2023-01-15,CategoryA,19.04,78.64,14.2,22,46598.97
2023-01-15,CategoryA,63.02,47.8,34.74,3306,39515.33
2023-01-15,CategoryA,42.74,183.57,14.67,21,1116.6
2023-01-15,CategoryB,83.36,170.2,35.09,80,37924.08
2023-01-15,CategoryB,13.67,46.04,46.98,443,23994.34
2023-01-15,CategoryB,26.03,76.0,35.56,8080,45072.84
2023-01-15,CategoryB,14.83,174.89,21.02,22,43451.09
2023-01-15,CategoryB,94.91,69.4,30.39,3306,5191.16
2023-01-15,CategoryB,25.66,25.15,35.15,21,32498.87
2023-01-15,CategoryC,57.32,33.25,12.45,80,28593.46
2023-01-15,CategoryC,20.7,86.26,21.89,443,10258.25
2023-01-15,CategoryC,22.07,90.39,46.66,8080,29024.4
2023-01-15,CategoryC,75.87,137.63,21.59,22,17243.07
2023-01-15,CategoryC,21.08,193.49,7.06,3306,18716.66
2023-01-15,CategoryC,43.45,20.16,29.05,21,20022.5
2023-01-15,CategoryD,39.74,75.61,28.33,80,45434.01
2023-01-15,CategoryD,36.96,95.37,37.49,443,35301.92
2023-01-15,CategoryD,58.03,198.01,8.48,8080,43919.37
2023-01-15,CategoryD,94.77,187.96,31.49,22,32753.37
2023-01-15,CategoryD,18.55,49.04,42.2,3306,44380.03
2023-01-15,CategoryD,76.54,134.05,5.42,21,41658.54
2023-01-16,CategoryA,75.29,46.24,48.19,80,31226.5
2023-01-16,CategoryA,95.09,154.47,7.08,443,24091.77
2023-01-16,CategoryA,12.75,20.65,5.07,8080,44356.49
2023-01-16,CategoryA,61.54,43.13,17.48,22,17689.06
2023-01-16,CategoryA,87.52,147.77,13.38,3306,36394.72
2023-01-16,CategoryA,77.9,163.64,43.87,21,17305.02
2023-01-16,CategoryB,95.83,94.52,47.86,80,47666.02
2023-01-16,CategoryB,22.44,120.38,13.56,443,45133.87
2023-01-16,CategoryB,12.28,107.42,26.38,8080,41075.23
2023-01-16,CategoryB,48.34,31.45,29.98,22,40187.48
2023-01-16,CategoryB,25.62,32.37,36.9,3306,46661.75
2023-01-16,CategoryB,43.2,143.71,45.46,21,49346.41
2023-01-16,CategoryC,14.91,184.04,9.61,80,16961.63
2023-01-16,CategoryC,66.48,78.66,15.59,443,41352.26
2023-01-16,CategoryC,62.57,140.14,44.84,8080,18989.07
2023-01-16,CategoryC,15.25,87.86,20.86,22,22693.08
2023-01-16,CategoryC,39.25,78.75,18.26,3306,34087.85
2023-01-16,CategoryC,33.69,111.42,40.76,21,28697.76
2023-01-16,CategoryD,29.12,24.81,39.5,80,24726.98
2023-01-16,CategoryD,74.65,73.76,45.18,443,20822.72
2023-01-16,CategoryD,51.78,62.01,27.96,8080,3960.06
2023-01-16,CategoryD,22.65,136.71,22.91,22,30675.72
2023-01-16,CategoryD,81.49,70.88,31.88,3306,34704.08
2023-01-16,CategoryD,47.98,90.15,48.38,21,12829.48
2023-01-17,CategoryA,10.77,58.59,26.37,80,1100.8
2023-01-17,CategoryA,86.27,46.39,40.01,443,2488.55
2023-01-17,CategoryA,33.63,131.0,17.7,8080,23709.43
2023-01-17,CategoryA,64.31,184.24,5.63,22,13441.23
2023-01-17,CategoryA,30.19,70.42,43.77,3306,24290.36
2023-01-17,CategoryA,25.98,157.7,45.3,21,21421.38
2023-01-17,CategoryB,74.33,77.46,41.67,80,37795.25
2023-01-17,CategoryB,32.54,153.76,5.06,443,45195.18
2023-01-17,CategoryB,58.0,185.83,21.73,8080,5299.33
2023-01-17,CategoryB,43.18,188.86,14.0,22,13979.85
2023-01-17,CategoryB,79.88,132.39,16.04,3306,5805.82
2023-01-17,CategoryB,33.85,194.22,45.07,21,15609.7
2023-01-17,CategoryC,91.19,192.31,17.39,80,37967.37
2023-01-17,CategoryC,85.92,194.93,41.05,443,39766.28
2023-01-17,CategoryC,62.03,31.19,46.79,8080,10161.34
2023-01-17,CategoryC,48.5,103.45,38.15,22,34973.76
2023-01-17,CategoryC,81.58,137.01,31.72,3306,34679.76
2023-01-17,CategoryC,13.21,90.7,39.98,21,24018.3
2023-01-17,CategoryD,93.35,117.95,27.08,80,15993.7
2023-01-17,CategoryD,57.27,135.32,32.84,443,5787.6
2023-01-17,CategoryD,30.72,171.74,41.45,8080,1404.62
2023-01-17,CategoryD,24.63,118.35,45.54,22,40908.96
2023-01-17,CategoryD,37.25,120.55,11.33,3306,13233.22
2023-01-17,CategoryD,30.5,41.3,7.21,21,17436.17
2023-01-18,CategoryA,59.8,109.52,17.82,80,7036.22
2023-01-18,CategoryA,46.73,80.98,16.1,443,16748.56
2023-01-18,CategoryA,46.55,149.64,33.78,8080,32245.94
2023-01-18,CategoryA,45.11,189.19,9.89,22,5748.78
2023-01-18,CategoryA,44.96,37.76,22.62,3306,33497.16
2023-01-18,CategoryA,74.39,145.27,40.33,21,1573.52
2023-01-18,CategoryB,17.87,77.56,40.75,80,16376.83
2023-01-18,CategoryB,90.92,169.21,46.77,443,18971.49
2023-01-18,CategoryB,72.13,42.15,6.05,8080,26975.88
2023-01-18,CategoryB,80.71,42.98,21.61,22,11020.47
2023-01-18,CategoryB,29.96,66.14,47.38,3306,40377.47
2023-01-18,CategoryB,14.42,36.73,42.77,21,48140.25
2023-01-18,CategoryC,18.19,23.32,32.28,80,11369.14
2023-01-18,CategoryC,53.32,20.43,10.48,443,34112.24
2023-01-18,CategoryC,28.71,98.61,12.94,8080,19123.33
2023-01-18,CategoryC,20.01,146.07,43.45,22,9340.11
2023-01-18,CategoryC,90.33,178.52,28.45,3306,29288.57
2023-01-18,CategoryC,38.13,126.59,11.95,21,37735.11
2023-01-18,CategoryD,84.73,150.08,17.86,80,4571.5
2023-01-18,CategoryD,20.02,29.03,32.29,443,34552.54
2023-01-18,CategoryD,70.83,193.61,32.89,8080,35596.74
2023-01-18,CategoryD,21.68,93.24,17.03,22,6916.58
2023-01-18,CategoryD,64.16,59.17,18.25,3306,7183.95
